,index,date,close,diff,open,high,low,volume
0,0,2010.09.16,32400.0,2100.0,33700.0,34100.0,32400.0,132136.0
1,1,2010.09.17,32900.0,500.0,32000.0,34450.0,32000.0,127247.0
2,2,2010.09.20,34800.0,1900.0,33300.0,35200.0,32550.0,125939.0
3,3,2010.09.24,36100.0,1300.0,34600.0,36700.0,34000.0,93082.0
4,4,2010.09.27,37450.0,1350.0,36100.0,37750.0,36000.0,84968.0
5,5,2010.09.28,37850.0,400.0,37100.0,38200.0,36800.0,59681.0
6,6,2010.09.29,37150.0,700.0,37600.0,38600.0,37000.0,49815.0
7,7,2010.09.30,38050.0,900.0,37000.0,38350.0,37000.0,40916.0
8,8,2010.10.01,39700.0,1650.0,38450.0,39900.0,38000.0,61923.0
9,9,2010.10.04,40550.0,850.0,40000.0,41800.0,39500.0,89312.0
10,10,2010.10.05,40100.0,450.0,40100.0,41000.0,39500.0,50350.0
11,11,2010.10.06,41800.0,1700.0,40700.0,43950.0,39600.0,106844.0
12,12,2010.10.07,44000.0,2200.0,41900.0,44500.0,41150.0,84415.0
13,13,2010.10.08,50600.0,6600.0,43500.0,50600.0,43500.0,188326.0
14,14,2010.10.11,50000.0,600.0,52000.0,53600.0,49900.0,228429.0
15,15,2010.10.12,45800.0,4200.0,49300.0,49300.0,43450.0,236279.0
16,16,2010.10.13,47200.0,1400.0,46500.0,48900.0,44250.0,311361.0
17,17,2010.10.14,48000.0,800.0,48200.0,51000.0,47950.0,113251.0
18,18,2010.10.15,48950.0,950.0,47250.0,49100.0,46350.0,46722.0
19,19,2010.10.18,49200.0,250.0,48950.0,50800.0,48900.0,61783.0
20,20,2010.10.19,48500.0,700.0,49700.0,49900.0,48200.0,29583.0
21,21,2010.10.20,51300.0,2800.0,47650.0,53300.0,47650.0,98940.0
22,22,2010.10.21,54100.0,2800.0,52200.0,57400.0,51300.0,180709.0
23,23,2010.10.22,62200.0,8100.0,54300.0,62200.0,54200.0,297694.0
24,24,2010.10.25,62400.0,200.0,64000.0,68000.0,61500.0,303217.0
25,25,2010.10.26,69300.0,6900.0,62200.0,69700.0,62200.0,267934.0
26,26,2010.10.27,70000.0,700.0,70000.0,73700.0,68600.0,157270.0
27,27,2010.10.28,67500.0,2500.0,70800.0,71600.0,66700.0,108629.0
28,28,2010.10.29,63700.0,3800.0,67500.0,68700.0,61400.0,180954.0
29,29,2010.11.01,69200.0,5500.0,64200.0,69200.0,63200.0,146107.0
30,30,2010.11.02,67000.0,2200.0,70800.0,72600.0,66500.0,121029.0
31,31,2010.11.03,65200.0,1800.0,67900.0,68400.0,65200.0,76808.0
32,32,2010.11.04,68400.0,3200.0,66200.0,69300.0,65600.0,120370.0
33,33,2010.11.05,63800.0,4600.0,68000.0,68000.0,62900.0,98286.0
34,34,2010.11.08,61700.0,2100.0,64100.0,64100.0,59000.0,111277.0
35,35,2010.11.09,60100.0,1600.0,62500.0,64100.0,60000.0,93819.0
36,36,2010.11.10,65500.0,5400.0,59900.0,65900.0,55000.0,324431.0
37,37,2010.11.11,62500.0,3000.0,66200.0,67200.0,62500.0,89521.0
